Catchment,prcptot,RR1,rx1day,rx5day,cwd,rr20mm,r90p,r95p,r99p,r90pday,r95pday,r99pday,nrr95p,nrr99p,dry_days,cdd,Year
GRDC_6337507,846.2004665757,241.7,22.5092524,49.2099956,29.2,0.5,6.286663046000001,8.213458348499994,12.532810851499999,24.5,12.5,2.9,0.3309653823683727,0.20018174536564773,122.9,19.3,2015.5
GRDC_6337508,830.9371387769,203.9,26.114952888888887,55.71608931111112,20.8,1.0,7.932439636666668,10.475677497222215,15.851005287777777,20.8,10.7,2.7,0.2901618155825697,0.17063253131052405,124.1,14.9,2015.5
GRDC_6337509,707.8942061125999,193.4,21.0810777,49.431649390000004,29.5,0.9,6.870840502000002,9.011177030999995,13.92557720249999,19.7,10.1,2.6,0.322898966597574,0.20324998213340315,102.9,13.0,2015.5
GRDC_6337510,778.06141066507,213.8,22.95925255,48.59239449,27.7,0.9,6.638692222,9.058468702999999,14.0429077,21.8,11.1,2.7,0.30882924752849994,0.19110899321177605,125.3,17.4,2015.5
GRDC_6337511,767.16758059538,216.8,23.798206722222222,53.950810511111115,22.1,0.6,6.671306875555556,8.800939019444444,13.051165756666661,22.3,11.5,2.7,0.3076551276682698,0.19774630110259256,111.2,13.8,2015.5
GRDC_6337512,779.4060984478,216.8,24.828538555555557,55.022198111111116,21.5,0.9,6.687703302222222,8.957464683333331,14.054298828888891,22.2,11.2,2.6,0.31299819344451874,0.18769960869539565,111.2,14.8,2015.5
GRDC_6337513,768.5395642431,216.3,24.339411333333334,54.73016393333333,23.5,0.6,6.655523211111112,8.737546081666665,13.165913166111116,22.2,11.3,2.7,0.30942520775756255,0.19462404665366018,111.7,12.6,2015.5
GRDC_6337514,832.3135781363501,239.6,23.86437475,51.69938725000001,26.2,1.0,6.354278377000001,8.089310788499997,12.724402271500006,24.3,12.4,3.0,0.3294314086000158,0.19596108698388573,125.7,18.1,2015.5
GRDC_6337515,805.24391908774,235.3,21.074049,46.83648883,30.5,0.6,6.041403691000001,7.5496035124999965,11.7787265935,24.0,12.3,3.0,0.33282417486028043,0.21292100719268098,129.3,17.9,2015.5
GRDC_6337516,751.27766788875,215.1,21.6954287,49.785878204,22.6,0.5,6.480243941,8.520664729999996,12.666269011999997,22.0,11.3,2.8,0.3311490360610877,0.20217943513087153,112.9,15.1,2015.5
GRDC_6337517,566.20378788421,163.7,17.8972112,44.01600981,23.2,0.4,5.947508125000001,7.570239578499999,11.1188510705,17.0,8.7,2.3,0.3409626350988208,0.22224685942967137,91.4,12.9,2015.5
GRDC_6337518,786.86661126071,227.0,20.3360469,48.45329805,30.9,0.7,6.032846573000001,7.629880989999997,11.86453212499997,23.1,11.9,2.9,0.3420153069679648,0.21375438584070267,124.1,18.7,2015.5
